rank,hover,alpha,size,ctrl,num_props,quad_flag,distance
1,ST,11.395231412580062,0.026650098564495798,126130.32491510245,4,0,0.006904584056329209
1,ST,11.601015998128947,0.027359675236905502,118555.0758632339,4,0,0.01451751535512648
1,ST,11.277950811276435,0.026504599566617763,133464.49926476472,4,0,0.027601318154623612
1,ST,12.58664863913184,0.043081735079602355,46615.16832715444,5,0,0.0169428358325739
1,ST,12.279076044936101,0.04163422881875835,52459.66142861381,5,0,0.0023038149000153287
1,ST,11.303079520476254,0.026497584800969115,126135.3986640562,4,0,0.012577911957376165
1,ST,11.530457828096084,0.027384679847679637,128266.08971908191,4,0,0.015086593489081132
1,ST,11.570530381838115,0.027507468100451835,122823.23151059744,4,0,0.012718697458528798
1,ST,11.713923035160299,0.02796341685886937,114289.72126076826,4,0,0.00934764511671114
1,ST,12.68033349943347,0.04404090831354987,44103.9767553966,5,0,0.04443781316470595
1,ST,11.525159696424113,0.027314943996977918,123408.85417737444,4,0,0.005666181390740687
1,ST,12.403303714452255,0.042095839631478636,48215.527412008974,5,0,0.005259516998791151
1,ST,12.077165976254468,0.04192127456260484,52531.09610240461,5,0,0.016338163295199836
1,ST,12.423119683907633,0.04234819100384288,46562.52537576305,5,0,0.005331346987449814
1,ST,11.231620677061082,0.026424730411069672,131842.97329456266,4,0,0.026859080601211206
1,ST,12.027489623233803,0.04033752733018945,50505.09739100377,5,0,0.018780230195731835
1,ST,12.38322998527379,0.041453971397024565,49121.4915308082,5,0,0.008314762272936593
1,ST,11.729500406974692,0.028177521738090343,114930.35216261692,4,0,0.016569271417807854
1,ST,11.407832910581652,0.026843275402546857,126948.51982167682,4,0,0.018484222906631216
1,ST,11.089303799993665,0.026649352459496775,140663.34282628092,4,0,0.05175492058897452
1,ST,11.31837321859352,0.027195473618208475,131228.0052504874,4,0,0.010343549365946829
1,ST,12.623777218808295,0.04390941989316762,45492.72104206911,5,0,0.01930763043521329
2,ST,12.634820942612771,0.044147601543534094,42626.32478756517,5,0,0.014361336460438433
2,ST,12.625485591875032,0.0437995427736101,44943.32740769877,5,0,0.009261552932372448
2,ST,10.743893548693325,0.02665920535516044,131805.1085624001,4,0,0.3822462475859717
2,ST,11.194845649152894,0.026538351533615175,129154.47922368969,4,0,0.045211033692721767
2,ST,12.72501828502844,0.04501412874074771,43097.40401412437,5,0,0.027575399125733518
2,ST,11.620822478846707,0.027448640922344586,118969.26489757678,4,0,0.01067531155047893
2,ST,12.641180756999475,0.04434131483240211,44264.09079508121,5,0,0.014997357617409559
2,ST,11.040675357227862,0.026826893236355964,131426.00668334973,4,0,0.021837026764935197
2,ST,12.647774170306604,0.04450980256057143,45019.301605837085,5,0,0.011505567216119663
2,ST,12.18116300573619,0.04100776245421103,50317.842116942214,5,0,0.015053242145711528
2,ST,11.074965175243884,0.02647064535361545,131248.01355716898,4,0,0.041803724897447096
2,ST,13.00100048697808,0.05935146802838278,19198.804919895734,6,0,0.2507532026373997
2,ST,13.01721346811287,0.06378688259935954,16083.742053188156,6,0,0.1136957898923793
2,ST,11.35666097134625,0.02702577014173571,126491.95924743067,4,0,0.026776757734989207
2,ST,12.573875789045875,0.04387763405007966,45449.078886872405,5,0,0.015092475806622555
2,ST,12.60749732521117,0.043471654440081366,44987.998846064664,5,0,0.012630132698726603
2,ST,12.63171165468495,0.04421208479128624,43074.93933067795,5,0,0.009902205100887978
2,ST,12.426443185458615,0.04265769658000343,47729.81882700411,5,0,0.014386339679516314
2,ST,12.757611532185292,0.0452728186969525,41876.8124445019,5,0,0.04467312282600258
2,ST,11.52379964060277,0.027408373022362667,122898.11315397965,4,0,0.014596125632755412
2,ST,12.039960738746466,0.041209672156977586,51703.29092857054,5,0,0.028685322626793627
2,ST,12.164548129146652,0.04116681257995567,50692.66363418435,5,0,0.02087024754717976
2,ST,12.352368692068168,0.042102539805615076,49252.88310323154,5,0,0.008967024927261655
2,ST,11.618004437785233,0.027308531378056857,115212.62950009157,4,0,0.014254926925307738
2,ST,12.26955049683556,0.04248214869545986,51094.23543350951,5,0,0.015981113225356836
2,ST,11.310443721142866,0.027607858157362636,130736.17545585262,4,0,0.015631307505241693
2,ST,12.596263811196142,0.043812984429199765,45204.970647730166,5,0,0.008608843446304113
2,ST,12.337312367746556,0.04157778247163814,49290.080211413275,5,0,0.012790388533488484
2,ST,11.003605939851896,0.02733297263591864,137181.72169166742,4,0,inf
2,ST,11.517331849630517,0.0273085640043462,122200.62432070405,4,0,0.008820764589961429
2,ST,11.37904179480615,0.02689495121811828,121978.35370295506,4,0,0.014843111087826606
2,ST,12.338360421431139,0.0417989938557966,48920.56607540192,5,0,0.007502702928735146
2,ST,12.359975321124766,0.04207777830226697,47557.65583120807,5,0,0.009514331759045456
2,ST,12.556273560927519,0.043627397091282105,46051.474696565936,5,0,0.009463824337041234
2,ST,11.437982050247454,0.027030381947129124,121080.28378297597,4,0,0.010644550102063523
2,ST,11.322606650661584,0.026901458677158638,125302.96948952058,4,0,0.013335984169969818
2,ST,12.388116022178524,0.04236957198158077,48176.377104166124,5,0,0.004093600936843087
2,ST,11.426109066656034,0.027041331349593314,121138.9356183164,4,0,0.0031588758939800634
2,ST,11.465897684301586,0.027195649285322122,124219.80136114378,4,0,0.005583833715629454
2,ST,12.517740454329576,0.04375274806232835,46752.28622890963,5,0,0.012029185946526256
2,ST,12.392646815324687,0.04237912050952724,47783.903021163664,5,0,0.0025846707623300136
2,ST,11.671024849131097,0.027690956645677705,117530.31894183041,4,0,0.0220594903029133
2,ST,12.514329942876943,0.04312159390625995,46493.03655328088,5,0,0.006781186251858699
